авангард1|"передовая часть"|vanguard/avant-guarde
доля3|музыкальная|share
дом1|"здание"|building
дом2|"учреждение"|firm
дом3|"семья/хозяйство"|family/household
дома1|"здания"|buildings
дома2|"учреждения"|firms
дома3|"семьи/хозяйства"|families
доменный1|"относящийся к домену"|domain
доменный2|"относящийся к домне"|blast-furnace
домены1|в интернете|domains
домены2|в физике|bubbles
дометать1|"кончать мести"|to finish sweeping
дометать2|напр.петли|to finish basting
домино1|"игра"|dominoes
домино2|"одежда"|domino
Дон1|"река"|the Don river
Дон2|"фамилия"|Don as a male name
донести1|"сообщить"|to report
донести2|до пункта назначения|to bring to
доносить1|"сообщать"|to inform
доносить2|до пункта назначения|to wear out
дополнение1|"прибавление"|addition/supplement
дополнение2|грамматич.|object
допускать1|"позволять"|to permit
допускать2|"совершать"|to make
допустить1|"позволить"|to permit
допустить2|"совершить"|to make
дорогой1|"недешевый"|expensive
дорогой2|"любимый/ценимый"|dear
дорожка1|напр.у магнитофона|track
дорожка2|"малая дорога"|path
дорожка3|ковровая|strip
дорожки1|напр.у магнитофона|tracks
дорожки2|"малые дороги"|paths
дорожки3|ковровые|strips
дорывать1|"рыть"|to finish digging
дорывать2|"обрывать"|to tear completely
досадить1|"вызвать досаду"|to annoy
досадить2|"посадить еще"|to finish planting
доска1|"стройматериал"|plank
доска2|напр.классная|board
доски1|"стройматериалы"|planks
доски2|напр.классные|boards
доставать1|"вынимать/достигать"|to fetch/reach
доставать2|"находить"|to obtain
доставать3|"надоедать"|to bother
доставить1|"привезти"|to deliver
доставить2|"причинить"|to cause
доставленный1|"привезенный"|delivered
доставленный2|"причиненный"|caused
доставлять1|"привозить"|to deliver
доставлять2|"причинять"|to cause
достать1|"вынуть/достичь"|to fetch/reach
достать2|"заполучить"|to obtain
достать3|"надоесть"|to bother
достижение1|"действие"|advance
достижение2|"результат"|attainment
досыпать1|"досЫпать"|to pour more/top up (perf)
досыпать2|"досыпАть"|to pour more/top up (imper)
досыпать3|"спать дополнительно"|to get more sleep
дотушить1|"догасить"|to finish putting out
дотушить2|"доварить"|to finish stewing
дохнуть1|"вздохнуть"|to breathe
дохнуть2|"умирать"|to die/fall
доходить1|"достигать"|to reach
доходить2|"становиться понятным"|to touch
доходить3|"приходить в упадок"|to break down
драп1|"ткань"|heavy cloth
драп2|"бегство"|escape/flight
дробь1|математическая|fraction
дробь2|охотничья|small shot
дробь3|барабанная|drumming
дрогнуть1|"вздрогнуть/уступить"|to quaver/falter
дрогнуть2|"дрожать"|to freeze
дубина1|"дубинка"|cudgel
дубина2|"дурак"|blockhead
дума1|"мысль"|thought
дума2|"организация"|Duma
дурной1|"предосудительный"|evil/wicked
дурной2|"неблагоприятный"|bad/ugly
дурной3|"глупый"|silly
дух1|"высший субъект"|spirit
дух2|"настрой"|courage
дух3|"дыхание/запах"|smell
духи1|"призраки"|ghosts
духи2|"парфюмерия"|parfum
душевный1|"ментальный"|mental
душевный2|"сердечный"|heartfelt
душевой1|напр.доход|per head
душевой2|напр.павильон|shower
душить1|"удушать"|to smother
душить2|напр.духами|to perfume
душиться1|"задыхаться"|to strangle
душиться2|напр.духами|to perfume oneself
единица1|"число"|one as a number
единица2|"цифра"|one as a character
единица3|"отдельн.сущность"|unit
единица4|"оценка"|one as a bad mark
единицы1|"понятия/предметы"|notions
единицы2|"цифры"|one characters
единицы3|"отдельн.сущности"|units
единицы4|"оценки"|ones as bad marks
ежи1|"ежики"|hedgehogs
ежи2|"противотанк.заграждения"|antitank devices
елка1|"ель"|fir-tree
елка2|новогодняя|Christmas tree
емкость1|"вместимость"|capacity
емкость2|"сосуд"|vessel
емкость3|"конденсатор"|capacitor
естественный1|"природный"|natural/innate/native
естественный2|"разумеющийся"|obvious/self-evident/natural
жать1|"сжимать"|to press/squeeze
жать2|"пожинать"|to reap/cut
железка1|"кусок железа"|piece of iron
железка2|"железа"|small gland
железный1|"из железа"|iron
железный2|"твердый/надежный"|reliable
желтый1|"желтого цвета"|yellow
желтый2|"бульварно-сенсационный"|sensational yellow
жертвы1|"пострадавшие"|victims
жертвы2|"потери"|losses
жесткий1|"твердый"|tough/rigid
жесткий2|"суровый"|harsh/strict
жестянка1|"жест.банка/коробка"|tin
жестянка2|"кузов автомашины"|car body
жестянка3|"жестяные работы"|tin-smith work
живой1|"живущий"|living/alive
живой2|"энергичный/выразительный"|lively
жизнь1|"существование"|existence
жизнь2|"уклад"|way of life
жизнь3|"деятельность/действительность"|activities
жила1|горная|mining vein
жила2|тела/кабеля|vein/sinew
жила3|"жмот"|skinflint
жить1|"существовать"|to live
жить2|с женщиной|to have sexual relationship
журнал1|"пресса"|magazine/journal
журнал2|"книга записей"|register/log
журналы1|"пресса"|magazines/journals
журналы2|"книги записей"|registers/logs
жучки1|"насекомые"|beetles
жучки2|"торговцы"|small tradesmen
жучки3|"электропробки"|makeshift fuses
жучки4|"подслуш.закладки"|bugs
жучок1|"насекомое"|beetle
жучок2|"торговец"|small tradesman
жучок3|"электропробка"|makeshift fuse
жучок4|"подслуш.закладка"|bug
за1|"в поддержку"|for/at/within
за2|"позади"|behind/over/after
забегать1|"наведываться"|to run/drop in
забегать2|"начать бегать"|to start running
забитый1|"заполненный"|full/obstructed
забитый2|"заколоченный"|nailed
забитый3|"запуганный"|cowed/downtrodden
забить1|"заделать/вбить/убить"|to choke/nail/beat to death
забить2|"начать бить"|to begin to beat
забиться1|"заткнуться/спрятаться"|to become cluttered/hide
забиться2|"начать биться"|to begin to beat
забой1|шахтерский|pit-face
забой2|скота|slaughtering
заболеть1|"стать больным"|to fall ill
заболеть2|"начать доставлять боль"|to begin to ache
забор1|"ограда"|fence
забор2|"извлечение"|taking
забрать1|"взять"|to take away
забрать2|"поместить"|to take in
забывать1|"утрачивать воспоминание"|to forget
забывать2|"случайно оставлять"|to leave behind
забыть1|"утратить воспоминание"|to forget
забыть2|"случайно оставить"|to leave behind
заверить1|"уверить"|to assure
заверить2|"удостоверить"|to certify
заверять1|"уверять"|to assure
заверять2|"удостоверять"|to certify
завести1|"привести/увести"|to take/bring/lead
завести2|"основать/заиметь"|to set/start
завести3|двигатель|to wind up
завестись1|о двигателе|to start
завестись2|"появиться"|to appear
завод1|"предприятие"|factory
завод2|у игрушки|winding mechanism
заводить1|"приводить/уводить"|to take/bring/lead
заводить2|"начинать иметь"|to set/start
заводить3|двигатель|to wind up
заводной1|"с механ.заводом"|winding/clockwork
заводной2|"легко возбуждаемый"|easily agitated
завозить1|"доставлять"|to supply
завозить2|"испачкать"|tо bedraggle
завязать1|"вязнуть"|to get stuck
завязать2|"связать"|to knot/tie up
завязать3|"закончить"|to finish
завязать4|"начать"|to start
загон1|для скота|enclose/pen
загон2|"действие"|driving in
загонять1|"утомить"|to tire out
загонять2|напр.скот|to drive in
заготовка1|"заготовление"|stocking up
заготовка2|"техдеталь"|blank/stock
заготовки1|"заготовления"|procurements
заготовки2|"техдетали"|blanks/stocks
зад1|"часть тела"|buttocks/hind
зад2|машины/здания|back
задаваться1|"задавать себе/считаться заданным"|to set a task
задаваться2|"кичиться"|to give onelelf airs
задатки1|"авансы"|deposits
задатки2|"способности"|disposition
задвигать1|"передвигать"|to push
задвигать2|"начать двигать"|to begin to move
задевать1|"затрагивать"|to touch
задевать2|"подевать"|to mislay
заделываться1|"закрываться"|to be closed up
заделываться2|"становиться"|to make oneself
задергать1|"начать дергать"|to begin to pull
задергать2|"утомить"|to worry
задержанный1|"отложенный"|delayed
задержанный2|"арестованный"|detained
задержать1|"отложить"|to delay
задержать2|"арестовать"|to detain
задерживать1|"откладывать"|to delay
задерживать2|"арестовывать"|to detain
задирать1|"поднимать"|to pull up
задирать2|"задираться"|to bully
задолбить1|клювом|to peck
задолбить2|"заучить"|to drill
задрать1|"поднять"|to pull up
задрать2|"убить"|to kill
заесть1|"съесть после"|to take after
заесть2|"заклинить"|to jam
зазубрить1|"нанести зазубрины"|to notch
зазубрить2|"заучить"|to learn by rote
зайчик1|"животное"|small hair
зайчик2|"лучик"|reflection of sunray
зайчики1|"животные"|small hairs
зайчики2|"лучики"|reflections of sunray
зайти1|"посетить"|to call on
зайти2|с другой стороны|to go behind/down
зажим1|для труб/рам|clamp
зажим2|у провода|terminal
зажим3|критики|suppresion
зазубренный1|"с зубцами"|notched
зазубренный2|"заученный"|learned by rote
заказать1|"сделать заказ"|to reserve
заказать2|"запретить"|to forbid
закапывание1|в землю|burying
закапывание2|одежды|staining
закапывать1|в землю|to bury
закапывать2|одежду|to stain
закачать1|"накачать"|to load
закачать2|"начать качать"|to begin to shake
закладка1|"процесс"|laying in
закладка2|напр.в книгу|bookmark
заключать1|договора|to conclude
заключать2|"помещать"|to confine
заключаться1|"завершаться/помещаться"|to be concluded
заключаться2|"состоять"|to lie in
заключение1|"вывод"|conclusion/inference
заключение2|договора/сделки|conclusion/signing
заключение3|"лишение свободы"|confinement/detention
заключение4|"конец/завершение"|conclusion/ending/end
заключенный1|напр.договор|signed
заключенный2|"содержащийся"|confined
заключить1|"осознать/совершить"|to conclude
заключить2|"поместить"|to confine
закон1|юридический|act/law
законченный1|"оконченный"|finished/complete
законченный2|"совершенный"|consummate/accomplished
закон2|природы|natural law
законы1|юридические|acts/laws
законы2|природы|natural laws
закрепить1|напр.веревку|to fasten
закрепить2|напр.успех|to consolidate
закрепить3|желудок|to constipate
закрепить4|напр.работника|to attach
закреплять1|напр.веревку|to fasten
закреплять2|напр.успехи|to consolidate
закреплять3|желудок|to constipate
закреплять4|напр.работников|to attach
закрывать1|"делать недоступным"|to close
закрывать2|"покрывать"|to cover
закрытый1|"недоступный"|closed
закрытый2|"секретный"|non-public/secret
закрытый3|"покрытый"|covered
закрыть1|"прекратить/сделать недоступным"|to finish/close
закрыть2|"покрыть"|to cover
закрыться1|"сделаться недоступным"|to get closed
закрыться2|"покрыться"|to cover oneself
закусить1|"прикусить"|to bite/take a bite
закусить2|"заесть/немного поесть"|to eat/have a bite
зал1|"помещение"|hall
зал2|"слушатели"|audience
заливной1|"затапливаемый"|spring-flooded
заливной2|напр.поросенок|jellied
заливной3|"заливистый"|sonorous
залог1|"заклад"|deposit
залог2|грамматич.|gram.voice
заложенный1|"основанный/базирующийся"|installed/based
заложенный2|"заключенный"|inserted/immanent
заложенный3|"преданный"|betrayed
заложенный4|для хранения|laid in
заложенный5|"перекрытый"|blocked up
заложить1|"основать"|to install
заложить2|"вставить/пометить"|to insert/mark
заложить3|"предать"|to betray
заложить4|для хранения|to lay in
заложить5|"перекрыть"|to block up
заметка1|"замечание/примечание"|remark
заметка2|"метка"|mark
заметки1|"замечания/примечания"|remarks
заметки2|"метки"|marks
замки1|"запоры"|locks
замки2|"здания"|castles
замок1|"запор"|lock
замок2|"здание"|castle
замораживание1|"превращение в лед"|freezing
замораживание2|"приостановка"|suspending
заморозить1|"превратить в лед"|to freeze
заморозить2|"приостановить"|to suspend
занести1|напр.в список|to enter
занести2|мебель/болезнь|to bring in
занести3|снегом|to cover
занести4|в сторону|to carry away
занимать1|"брать в долг"|to borrow
занимать2|"увлекать"|to interest
занимать3|"оккупировать"|to occupy/take
занос1|напр.снежный|drift
занос2|"занесение внутрь"|bringing
занос3|в сторону|carrying away
заносить1|в список|to enter
заносить2|мебель/болезнь|to bring in
заносить3|снегом|to cover
заносить4|"истрепать"|to wear out
заносить5|в сторону|to carry away
занятие1|"дело"|occupation
занятие2|"урок"|lesson
занятие3|"взятие"|taking up
занятый1|человек/территория/телефон|occupied/engaged/busy
занятый2|деньги|borrowed
занять1|"взять в долг"|to borrow
занять2|"увлечь"|to interest
занять3|"оккупировать/длиться"|to occupy/elapse
запад1|"сторона света"|west
запад2|"территория"|the West
запас1|"хранение"|stock/supply
запас2|воинский|reserve
запахивать1|"запахиваться"|to wrap/draw together
запахивать2|"перепахивать"|to plough in
запахнуть1|"запахнуться"|to wrap tighter
запахнуть2|"начать пахнуть"|to begin to smell
записать1|напр.на бумагу|to take down/note
записать2|напр.фильм|to tape/record
записать3|напр.в состав|to enrole
записывать1|напр.на бумагу|to take down/note
записывать2|напр.фильм|to tape/record
записывать3|напр.в состав|to enrole
запись1|"результат"|record
запись2|"процесс"|recording
запись3|напр.в кружок|enrollment
запить1|напр.еду|to wash down/take with
запить2|"начать пить"|to take to drinking
заплыть1|"уплыть"|to swim/sail behind
заплыть2|"затечь"|to be bloated with
запор1|"замок"|lock
запор2|желудка|constipation
запоры1|"замки"|locks/latches
запоры2|желудка|constipations
заправлять1|"загружать/добавлять"|to load/season
заправлять2|"управлять"|to be in charge of
запросы1|"выяснения"|inquiries
запросы2|"потребности"|requirements
запуск1|в работу|start
запуск2|напр.на орбиту|launch
запускать1|в работу|to start
запускать2|напр.на орбиту|to launch
запускать3|не заботясь|to neglect
запускать4|"бросаться чем-то/всунуть куда-то"|to fling/put
запустить1|в работу|to start
запустить2|напр.на орбиту|to launch
запустить3|не заботясь|to neglect
запустить4|"броситься чем-то/всунуть куда-то"|to fling/put
запущенный1|в работу|launched/started
запущенный2|"заброшенный"|neglected
Зара1|"женское имя"|Zara as fem.name
Зара2|"мононим певицы/магазин"|singer Zara/Zara as trade mark
заработать1|"приобрести работой"|to earn
заработать2|"начать работать"|to start
зарядка1|"загрузка"|loading
зарядка2|"физзарядка"|phys.exercise
засаливать1|"пачкать"|to make greasy
засаливать2|"солить"|to salt
засветиться1|"зажечься"|to light up
засветиться2|"выявиться"|to reveal oneself
засечь1|"заметить"|to notch/spot
засечь2|"забить кнутом"|to flog
заставить1|"принудить"|to make/force
заставить2|"загромоздить"|to cram/obstruct
застукать1|"поймать"|to catch
застукать2|"начать стукать"|to begin to clatter
засыпание1|"насыпание"|filling up
засыпание2|"погружение в сон"|falling asleep
засыпать1|"засЫпать"|to pour on/top up (perf)
засыпать2|"засыпАть"|to pour on/top up (imperf)
засыпать3|"отходить ко сну"|to fall asleep
затопить1|"растопить"|to light
затопить2|водой|to flood
затопленный1|"растопленный"|lighted
затопленный2|водой|submerged
заточенный1|"заостренный"|sharpened
заточенный2|"помещенный"|confined
заточенный3|"ориентированный"|oriented
заточить1|"заострить"|to sharpen
заточить2|"поместить"|to confine
заточить3|"ориентировать"|to orient
заточка1|"затачивание"|sharpening
заточка2|"оружие"|home-made cold steel
затяжка1|"задержка"|protraction
затяжка2|напр.на чулках|small knot
затяжка3|при курении|inhaling
затяжки1|"задержки"|protractions
затяжки2|на чулках|small knots
затяжки3|при курении|inhalings
затянуть1|"продлить"|to grag out
затянуть2|напр.пояс|to tighten
затянуть3|"покрыть/втянуть в себя"|to cover/drug in
затянуть4|песню|to strike up
зафиксированный1|"зарегистрированный"|recorded
зафиксированный2|"закрепленный"|fixed
зафиксировать1|"зарегистрировать"|record
зафиксировать2|"закрепить"|fix
захват1|"взятие"|capture
захват2|"техустройство"|claw
захватывающий1|"поглощающий"|gripping/absorbing
захватывающий2|"берущий/занимающий/застающий"|taking/seizing/catching
заход1|солнца|sunset
заход2|напр.в гавань|putting in
зачитываться1|"засчитываться"|to be taken into account
зачитываться2|"прочитываться"|to be read out
зачитываться3|книгами|to absorb oneself in reading
защита1|"действие"|defense
защита2|"защитники"|defenders
защитник1|напр.в суде|defender
защитник2|футбольный|back
защитники1|напр.в суде|defenders
защитники2|футбольные|backs
защитный1|"для защиты"|protective
защитный2|цвет|khaki
звезда1|"небесное тело"|star in the sky
звезда2|"геометрическая фигура"|star in geometry
звезда3|"знак отличия"|star as an order
звезда4|"знаменитость"|star as a person
звезды1|"небесные тела"|stars in the sky
звезды2|"геометрические фигуры"|stars in geometry
звезды3|"знаки отличия"|stars as orders
звезды4|"знаменитости"|stars as persons
звено1|"часть"|link
звено2|"бригада"|team
звенья1|"части"|links
звенья2|"бригады"|teams
звонить1|по телефону|to phone
звонить2|"звучать"|to ring/clang
звонки1|"приборы"|bells
звонки2|"звуки"|bell sounds
звонки3|телефонные|calls
звонок1|"прибор"|bell
звонок2|"звук"|bell sound
звонок3|телефонный|call
звук1|"колебание воздуха"|phys.sound
звук2|"элемент речи"|phoneme
звуки1|"колебания воздуха"|phys.sounds
звуки2|"элементы речи"|phonemes
здоровый1|"обладающий здоровьем"|healthy
здоровый2|"правильный/благотворный"|valid/wholesome
здоровый3|"большой"|sound/huge
зебра1|"животное"|zebra
зебра2|"переход на дороге"|zebra crossing
зеленый1|"зеленого цвета"|green
зеленый2|"незрелый"|unripe
зелень1|"цвет/краска"|green color
зелень2|"овощи/растения"|greenery/greens
земля1|"страна"|country
земля2|"грунт"|soil
земля3|"территория"|land
земной1|"относящийся к Земле"|terrestial
земной2|"приземленный"|earthly
зерно1|собират.|grain/corn
зерно2|"зернышко"|seed
зерно3|"содержат.элемент"|grain
змеи1|"рептилии"|snakes
змеи2|воздушные|kites
змей1|"дракон"|dragon
змей2|воздушный|kite
знак1|"символ"|sign/symbol/token
знак2|"сигнал"|signal
знаки1|"символы"|signs/symbols/tokens
знаки2|"сигналы"|signals
знаменательный1|"значительный"|significant
знаменательный2|в грамматике|content
знаменитость1|"известность"|notoriousity
знаменитость2|"личность"|star/celebrity
значение1|"смысл"|meaning/sense
значение2|"важность"|importance
значение3|"величина"|value
золотой1|"из золота/с золотом"|golden
золотой2|"золотистый"|goldish
золотой3|"благоприятный"|favorable
зона1|"район/участок"|zone/area
зона2|"концлагерь"|prison camp
зубр1|"животное"|bison
зубр2|"многоопытный деятель"|die-hard
зубры1|"животные"|bisons
зубры2|"многоопытные деятели"|die-hards
игра1|подвижная|mobile game
игра2|настольная/электронная|board/electronic game
игра3|музыкальная/сценическая|play/acting
игра4|"интрига"|intrigue/speculation
идти1|"перемещаться/становиться"|to go/walk
идти2|"происходить/действовать"|to be on/take place/act
идти3|"быть подходящим"|to suite/fit/be used
избирательный1|"электоральный"|electоral
избирательный2|"селективный"|selective
избитый1|"побитый"|beaten
избитый2|"затасканный"|trite
избранный1|на выборах|elected
избранный2|"отселектированный/лучший"|selected/select
известный1|"пользующийся известностью"|well-known
известный2|"некоторый/подразумеваемый"|certain/notorious
издание1|"процесс"|publication
издание2|"результат"|edition
измельчать1|"стать мелким"|to reduce
измельчать1|"делать мелким"|to grind
изменить1|"поменять"|to change/alter
изменить2|напр.в браке|to betray/be unfaithful
изменять1|"менять"|to change/alter
изменять2|напр.в браке|to betray/be unfaithful
измерение1|"замер"|measurement
измерение2|"координата"|dimension
измерения1|"замеры"|measurements
измерения2|"координаты"|dimensions
изолятор1|электрический|insulator
изолятор2|следственный/лечебный |isolation ward
изоляторы1|электрические|insulators
изоляторы2|следственные/лечебные|isolation wards
изоляция1|электрическая/тепловая...|insulation
изоляция2|напр.моральная|isolation
Израиль1|"фамилия"|Israel as country
Израиль2|"мужское имя"|Israel as a personal name
изысканный1|"особый"|refined
изысканный2|"найденный"|found
икра1|рыбья|caviar
икра2|у ноги|calf
имя1|"название"|name
имя2|"известность/репутация"|fame/reputation
инвентарь1|"опись"|inventory
инвентарь2|"оборудование"|stock
индикатор1|"прибор"|indicator/display
индикатор2|"показатель"|indication
индикаторы1|"приборы"|indicators/displays
индикаторы2|"показатели"|indications
институт1|научный|sci.institute
институт2|учебный|edu.institute
институт3|обществ.-политический|institution
институты1|научные|sci.institutes
институты2|учебные|edu.institutes
институты3|обществ.-политические|institutions
инструмент1|"орудие"|tool
инструмент2|музыкальный|mus.instrument
инструменты1|"орудия"|tools
инструменты2|музыкальные|mus.instruments
интервью1|един.число|interview
интервью2|множ.число|interviews
интерпретатор1|"человек"|human interpreter
интерпретатор2|"программа"|soft interpreter
интерпретаторы1|"люди"|human interpreters
интерпретаторы2|"программы"|soft interpreters
информатор1|"человек"|informant
информатор2|"техустройство"|informing device
информаторы1|"люди"|informants
информаторы2|"техустройства"|informing devices
искатель1|"человек"|prospector
искатель2|"техустройство"|detector
исключать1|"удалять"|to exclude/expel
исключать2|"не допускать"|to rule out
исключение1|"отступление от правил"|exception
исключение2|"устранение"|exclusion
исключения1|"отступления от правил"|exceptions
исключения2|"удаления"|exclusions
исключить1|"удалить"|to exclude/expel
исключить2|"не допустить"|to rule out
искупать1|"возмещать"|to expiate/compensate
искупать2|"выкупать"|to bathe
искупаться1|"возмещаться"|to be expiated/compensated
искупаться2|"выкупаться"|to take a bath
исполнение1|напр.произведения|fulfillment
исполнение2|напр.приказа|execution
исполнение3|напр.изделия|implementation
исполненный1|"выполненный"|executed
исполненный2|"наполненный"|full of
исполнительный1|"прилежный"|efficient
исполнительный2|"исполняющий"|executive
исполнить1|напр.произведение|to fulfill
исполнить2|напр.приказ|to execute
исполнить3|"наполнить"|to fill
исполнять1|напр.произведение|fulfill
исполнять2|напр.приказ|execute
испытание1|"эксперим.проверка"|test/examination
испытание2|тягостное|ordeal
испытания1|"эксперим.проверки"|tests/examinations
испытания2|тягостные|ordeals
испытать1|"проверить"|to test
испытать2|"ощутить"|to feel
испытывать1|"проверять"|to test
испытывать2|"ощущать"|to feel
истечение1|"вытекание"|outflow
истечение2|"окончание"|expiry
история1|бытовая/литературная|story
история2|народов|history
источник1|литературный|literary source
источник2|водный/энергетический/финансовый|spring/source
источник3|"причина"|cause
источник4|"информант"|informer
источники1|литературные|literary sources
источники2|водные/энергетические/финансовые|springs/sources
источники3|"причины"|causes
источники4|"информанты"|informers
исходить1|"стартовать/проистекать"|to come from
исходить2|вдоль и поперек|to walk all over
исходить3|"выделять"|to emit
кабачки1|"кабаки"|taverns
кабачки2|"овощи"|marrows
кабачок1|"кабак"|tavern
кабачок2|"овощ"|marrow
кабинет1|напр.медицинский|study/specialist room
кабинет2|министров|cabinet
кабинеты1|напр.медицинские|studies/specialist rooms
кабинеты2|министров|cabinets
кавалер1|"партнер"|partner
кавалер2|"носитель ордена"|holder of an order
кадры1|"персонал"|personnel
кадры2|"фрагменты"|shots/sequence
казак1|"человек"|Cossack
казак2|"сапог"|pointed boot
казаки1|"люди"|Cossacks
казаки2|"сапоги"|pointed boots
казино1|един.число|casino
казино2|множ.число|casinos
какао1|"бакалейный товар"|cocoa as grocery
какао2|"напиток"|cocoa drink
калька1|"бумага"|tracing paper
калька2|"перевод"|calque
камень1|"стройматериал"|stone for building
камень2|"булыжник"|rock
камень3|полу/драгоценный|semi/precious stone
камера1|"помещение"|chamber
камера2|"устройство"|camera
камеры1|"помещения"|chambers
камеры2|"устройства"|cameras
камни1|"булыжники"|rocks/stones
камни2|полу/драгоценные|semi/precious stones
канал1|водный|canal
канал2|связной|channel
канал3|внутренний|duct
каналы1|водные|canals
каналы2|связные|channels
каналы3|внутренние|ducts
кандидат1|к избранию|candidate
кандидат2|наук|Candidate of Sciences
кандидаты1|к избранию|candidates
кандидаты2|наук|Candidates of Sciences
капитан1|"офицер"|captain in the army
капитан2|на корабле|master/captain at sea
капитан3|в спорте|captain in sport
капли1|напр.воды|drops, e.g. of water
капли2|"лекарство"|medical drops
капот1|"накидка"|house-coat
капот2|"часть кузова"|bonnet/cowling
капсула1|"покрытый элемент"|capsule
капсула2|"летательный модуль"|capsule module
карабин1|"винтовка"|carаbine
карабин2|"защелка"|kind of clasp
карман1|в одежде|pocket
карман2|"техустройство"|stacker/box
карта1|географическая|map
карта2|игральная|playing card
карта3|"карточка"|credit card
карта4|"электронная плата"|electr.card
картина1|"полотно"|painting
картина2|"вид"|picture/view
картина3|"кинофильм"|movie/film
карточка1|"фото"|photos
карточка2|банковская|credit card
карточка3|визитная|business card
карточка4|продовольственная|ration card
карточка5|в картотеке|file item
карточки1|"фото"|photos
карточки2|банковские|credit cards
карточки3|деловые/визитные|business cards
карточки4|продовольственные|ration cards
карточки5|в картотеке|file items
карты1|географические|maps
карты2|игральные|playing cards
карты3|"карточки"|cards
карьер1|"раскопка"|quarry
карьер2|"галоп"|full gallop
карьерный1|"относящийся к карьеру"|quarry
карьерный2|"относящийся к карьере"|career
карьеры1|"раскопки"|quarries
карьеры2|жизненные|careers
касса1|платежная|cash register
касса2|наборная|case
каток1|спортивный|skating-ring
каток2|дорожный|road-roller
кафе1|един.число|cafe
кафе2|множ.число|cafes
качалка1|"кресло"|rocking chair
качалка2|"качели"|swing
качалка3|"тренаж.зал"|gym
качать1|"перекачивать"|to pump
качать2|"покачивать"|to rock/shake/swing
качественный1|"высокого качества" |of high quality
качественный2|"неколичественный"|qualitative
кашка1|"каша"|porridge
кашка2|"клевер"|clover
квадрат1|"фигура"|square
квадрат2|"участок"|district
квадрат3|"степень числа"|second power
квалифицированный1|"умелый"|qualified/skilled
квалифицированный2|"оцененный"|сategorized/classified
квартал1|"часть города"|block
квартал2|"часть года"|quarter
квартальный1|в году|quaterly
квартальный2|в городе|quarter
кварталы1|"части города"|blocks
кварталы2|"части года"|quarters
кварц1|"минерал"|quartz
кварц2|"лампа"|quartz lamp
кейс1|"чемоданчик"|case/handbag
кейс2|"реальный случай"|case/matter/point
кейсы1|"чемоданчики"|cases/handbags
кейсы2|"реальные случаи"|cases/mattesr/points
Киев1|"столица Украины"|Kiev as Ukranian capital
Киев2|"правительство Украины"|Kiev as Ukranian government
кино1|"искусство"|the cinema
кино2|"кинотеатр"|movie theater
кино3|"кинофильм"|film/movie
кипа1|"стопка"|pile/bale
кипа2|"камилавка"|kamelaukion
кирка1|"инструмент"|pickaxe
кирка2|"церковь"|Protestant church
кисти1|для окраски|brushes
кисти2|рук|hands
кисти3|"грозди/пучки"|bunches/tassels
кисть1|для окраски|brush
кисть2|руки|hand
кисть3|"гроздь/пучок"|bunch/tassel
кишка1|в животе|intestine
кишка2|"шланг"|hose
класс1|населения|social stratum
класс2|"разряд"|sort
класс3|"комната"|classroom
класс4|"группа"|edu.form
классный1|"превосходный"|excellent
классный2|"учебного класса"|class
классы1|населения|social groups
классы2|"разряды"|sorts
классы3|"комнаты"|classrooms
классы4|"группы"|edu.forms
клетка1|напр.для птиц|cage
клетка2|у организмов|cell
клетка3|строительная|section
клетка4|на бумаге|square
клетки1|напр.для птиц|cages
клетки2|у организмов|cells
клетки3|строительные|sections
клетки4|на бумаге|squares
клещи1|"инструмент"|pincers
клещи2|"насекомые"|ticks
клик1|"крик"|hail
клик2|"нажим клавиши"|click
кликать1|"звать"|to hail
кликать2|"нажимать клавишу"|to click
клики1|"крики"|hails
клики2|"нажимы клавиши"|clicks
клики3|"группы"|cliques
клин1|земельный|gore/sowing area
клин2|напр.металлический|wedge
клин3|напр.журавлей|wedge
клише1|един.число|cliche
клише2|множ.число|cliches
клуб1|"организация"|club
клуб2|напр.дыма|puff
клубы1|"организации"|clubs
клубы2|напр.дыма|puffs
ключ1|для двери|door key 
ключ2|доступа/решения...|access/information key
ключ3|"инструмент"|spanner/switch
ключ4|"родник"|spring
ключ5|музыкальный|musical key
ключевой1|"определяющий/главный"|key/principal
ключевой2|"из источника"|spring
ключевой3|"для ключей"|for keys
ключи1|для дверей|keys for doors
ключи2|доступа/решения...|access/information keys
ключи3|"инструменты"|spanners/switches
ключи4|"родники"|springs
книга1|для чтения|book
книга2|для записей|register/log
книги1|для чтения|books
книги2|для записей|registers/logs
книжечка1|для чтения|booklet
книжечка2|для записей/документ|card
книжка1|для чтения|book
книжка2|"документ"|book/pocketbook
код1|напр.доступа|code as a numeric sequence
код2|программы|program code
коды1|напр.доступа|codes as numeric sequences
коды2|программы|program codes
кожа1|у человека|skin
кожа2|для вещей|leather
козел1|"животное"|billy-goat
козел2|"спортснаряд"|horse
козлы1|"животные"|billy-goats
козлы2|"подставка"|saw-horse
кок1|"чуб"|quiff
кок2|"повар"|cook
кокетка1|"женщина"|coquette
кокетка2|у одежды|yoke
кокс1|"уголь"|chark
кокс2|"наркотик"|cokе
колено1|ноги|knee
колено2|"поколение"|generation
колено3|у техустройства|toggle
колеса1|для езды|wheels
колеса2|"наркотаблетки"|drug pills
коллектор1|"сливной резервуар"|manifold/sewer
